"","gene_id","NK1.count.txt","NK2.count.txt","T4.count.txt","T5.count.txt","T6.count.txt","symbols"
"6","ENSG00000000003",139,277,408,243,635,"TSPAN6"
"7","ENSG00000000005",8,3,2,8,3,"TNMD"
"8","ENSG00000000419",71,225,134,124,240,"DPM1"
"9","ENSG00000000457",106,309,164,112,186,"SCYL3"
"10","ENSG00000000460",72,201,162,92,164,"C1orf112"
"11","ENSG00000000938",44,85,81,3,1,"FGR"
"12","ENSG00000000971",132,916,131,404,283,"CFH"
"13","ENSG00000001036",130,604,283,256,383,"FUCA2"
"14","ENSG00000001084",210,560,513,289,556,"GCLC"
"15","ENSG00000001167",190,520,376,247,478,"NFYA"
"16","ENSG00000001460",49,88,77,34,75,"STPG1"
"17","ENSG00000001461",130,421,281,111,331,"NIPAL3"
"18","ENSG00000001497",110,240,264,184,255,"LAS1L"
"19","ENSG00000001561",35,120,79,47,105,"ENPP4"
"20","ENSG00000001617",78,169,339,117,154,"SEMA3F"
"21","ENSG00000001626",44,128,100,110,380,"CFTR"
"22","ENSG00000001629",375,1109,888,589,918,"ANKIB1"
"23","ENSG00000001630",8,26,10,10,16,"CYP51A1"
"24","ENSG00000001631",70,168,173,99,163,"KRIT1"
"25","ENSG00000002016",126,290,275,164,260,"RAD52"
"26","ENSG00000002079",14,7,9,7,2,NA
"27","ENSG00000002330",19,115,36,32,76,"BAD"
"28","ENSG00000002549",137,903,182,165,243,"LAP3"
"29","ENSG00000002586",227,1011,256,341,537,"CD99"
"30","ENSG00000002587",164,351,372,17,9,"HS3ST1"
"31","ENSG00000002726",78,205,152,10,259,"AOC1"
"32","ENSG00000002745",10,3,4,2,0,"WNT16"
"33","ENSG00000002746",37,19,30,18,63,"HECW1"
"34","ENSG00000002822",20,26,15,12,21,"MAD1L1"
"35","ENSG00000002834",904,2937,1748,1454,2502,"LASP1"
"36","ENSG00000002919",41,196,56,46,56,"SNX11"
"37","ENSG00000002933",163,656,118,53,185,"TMEM176A"
"38","ENSG00000003056",602,2335,1376,611,1029,"M6PR"
"39","ENSG00000003096",53,51,120,227,177,"KLHL13"
"40","ENSG00000003137",55,121,129,28,19,"CYP26B1"
"41","ENSG00000003147",65,221,109,43,137,"ICA1"
"42","ENSG00000003249",22,28,33,11,35,"DBNDD1"
"43","ENSG00000003393",1199,2577,2315,527,931,"ALS2"
"44","ENSG00000003400",130,369,248,92,201,"CASP10"
"45","ENSG00000003402",1168,3118,2219,742,1761,"CFLAR"
"46","ENSG00000003436",392,1712,517,1972,2851,"TFPI"
"47","ENSG00000003509",60,188,137,76,171,"NDUFAF7"
"48","ENSG00000003756",713,1862,1346,1019,1735,"RBM5"
"49","ENSG00000003987",36,23,44,31,51,"MTMR7"
"50","ENSG00000003989",187,788,331,306,1125,"SLC7A2"
"51","ENSG00000004059",61,240,177,273,325,"ARF5"
"52","ENSG00000004139",68,189,183,173,316,"SARM1"
"53","ENSG00000004142",98,466,267,253,333,"POLDIP2"
"54","ENSG00000004399",1010,5103,972,1383,1927,"PLXND1"
"55","ENSG00000004455",305,878,706,397,1039,"AK2"
"56","ENSG00000004468",39,130,92,32,55,"CD38"
"57","ENSG00000004478",219,627,517,349,734,"FKBP4"
"58","ENSG00000004487",328,781,789,498,780,"KDM1A"
"59","ENSG00000004534",654,1501,1336,710,1019,"RBM6"
"60","ENSG00000004660",54,139,64,35,80,"CAMKK1"
"61","ENSG00000004700",183,594,345,274,437,"RECQL"
"62","ENSG00000004766",121,400,251,203,272,"VPS50"
"63","ENSG00000004776",273,2007,816,1736,2806,"HSPB6"
"64","ENSG00000004777",59,80,112,59,105,"ARHGAP33"
"65","ENSG00000004779",39,117,86,77,140,"NDUFAB1"
"66","ENSG00000004799",194,383,84,86,158,"PDK4"
"67","ENSG00000004809",6,5,2,5,0,"SLC22A16"
"68","ENSG00000004838",5,8,16,1,0,"ZMYND10"
"69","ENSG00000004846",24,13,17,7,2,"ABCB5"
"70","ENSG00000004848",21,5,27,14,8,"ARX"
"71","ENSG00000004864",99,505,331,185,538,"SLC25A13"
"72","ENSG00000004866",181,359,264,145,287,"ST7"
"73","ENSG00000004897",429,1411,984,853,1267,"CDC27"
"74","ENSG00000004939",21,7,14,4,4,"SLC4A1"
"75","ENSG00000004948",3,9,4,2,3,"CALCR"
"76","ENSG00000004961",31,134,82,63,112,"HCCS"
"77","ENSG00000004975",156,444,192,191,288,"DVL2"
"78","ENSG00000005001",29,76,43,19,35,"PRSS22"
"79","ENSG00000005007",213,750,442,289,565,"UPF1"
"80","ENSG00000005020",181,628,223,92,137,"SKAP2"
"81","ENSG00000005022",514,1673,972,752,1239,"SLC25A5"
"82","ENSG00000005059",30,132,36,29,60,"MCUB"
"83","ENSG00000005073",24,42,43,54,95,"HOXA11"
"84","ENSG00000005075",30,101,64,36,75,"POLR2J"
"85","ENSG00000005100",146,347,317,207,328,"DHX33"
"86","ENSG00000005102",8,8,22,15,6,"MEOX1"
"87","ENSG00000005108",91,214,151,141,360,"THSD7A"
"88","ENSG00000005156",229,479,562,329,614,"LIG3"
"89","ENSG00000005175",189,473,478,228,478,"RPAP3"
"90","ENSG00000005187",55,149,189,46,105,"ACSM3"
"91","ENSG00000005189",55,101,106,25,46,"REXO5"
"92","ENSG00000005194",95,195,158,97,141,"CIAPIN1"
"93","ENSG00000005206",104,233,204,127,222,"SPPL2B"
"94","ENSG00000005238",89,264,162,120,196,"FAM214B"
"95","ENSG00000005243",23,134,48,89,150,"COPZ2"
"96","ENSG00000005249",53,139,106,102,123,"PRKAR2B"
"97","ENSG00000005302",188,541,243,190,244,"MSL3"
"98","ENSG00000005339",1004,2737,2200,1829,2899,"CREBBP"
"99","ENSG00000005379",98,173,169,69,155,"TSPOAP1"
"100","ENSG00000005381",6,4,7,2,0,"MPO"
"101","ENSG00000005421",13,6,2,2,2,"PON1"
"102","ENSG00000005436",103,222,237,167,294,"GCFC2"
"103","ENSG00000005448",26,38,77,38,81,"WDR54"
"104","ENSG00000005469",843,1882,1099,79,258,"CROT"
"105","ENSG00000005471",22,9,45,10,3,"ABCB4"
"106","ENSG00000005483",1150,3090,2876,1567,2317,"KMT2E"
"107","ENSG00000005486",189,407,378,169,375,"RHBDD2"
"108","ENSG00000005513",27,30,46,73,48,"SOX8"
"109","ENSG00000005700",305,990,698,483,1003,"IBTK"
"110","ENSG00000005801",210,502,451,321,659,"ZNF195"
"111","ENSG00000005810",914,2856,2168,1592,1831,"MYCBP2"
"112","ENSG00000005812",250,783,580,348,579,"FBXL3"
"113","ENSG00000005844",376,1014,791,69,100,"ITGAL"
"114","ENSG00000005882",110,302,224,155,315,"PDK2"
"115","ENSG00000005884",172,411,297,116,1041,"ITGA3"
"116","ENSG00000005889",556,1642,1205,931,1735,"ZFX"
"117","ENSG00000005893",842,3596,1374,1107,1718,"LAMP2"
"118","ENSG00000005961",67,157,108,17,7,"ITGA2B"
"119","ENSG00000005981",13,3,1,4,10,"ASB4"
"120","ENSG00000006007",287,1041,465,244,596,"GDE1"
"121","ENSG00000006015",55,125,51,48,80,"REX1BD"
"122","ENSG00000006016",11,7,8,18,13,"CRLF1"
"123","ENSG00000006025",47,129,75,44,85,"OSBPL7"
"124","ENSG00000006042",138,286,446,294,1195,"TMEM98"
"125","ENSG00000006047",10,9,35,10,30,"YBX2"
"126","ENSG00000006059",0,6,0,3,2,"KRT33A"
"127","ENSG00000006062",56,133,86,63,101,"MAP3K14"
"128","ENSG00000006071",33,13,20,18,8,"ABCC8"
"129","ENSG00000006116",4,2,3,1,0,"CACNG3"
"130","ENSG00000006118",110,214,162,126,321,"TMEM132A"
"131","ENSG00000006125",763,2299,1533,1220,2078,"AP2B1"
"132","ENSG00000006128",3,5,4,10,3,"TAC1"
"133","ENSG00000006194",81,221,183,141,206,"ZNF263"
"134","ENSG00000006210",46,72,70,28,109,"CX3CL1"
"135","ENSG00000006282",120,397,191,188,346,"SPATA20"
"136","ENSG00000006283",85,45,143,73,129,"CACNA1G"
"137","ENSG00000006327",25,101,62,49,49,"TNFRSF12A"
"138","ENSG00000006377",11,7,9,6,3,"DLX6"
